Date,Closing Price,Open,Daily High,Daily Low
12/24/2013,2001.59,2000.24,2007.34,1994.34
12/26/2013,1999.3,2004.25,2009.96,1997.34
12/27/2013,2002.28,1994.05,2004.55,1987.58
12/30/2013,2011.34,2004.32,2011.34,1998.61
1/2/2014,1967.19,2013.11,2013.89,1967.19
1/3/2014,1946.14,1963.72,1964.63,1936.15
1/6/2014,1953.28,1947.62,1961.85,1943.74
1/7/2014,1959.44,1947.65,1965.74,1947.08
1/8/2014,1958.96,1965.5,1966.95,1950.02
1/9/2014,1946.11,1962.3,1964.59,1946.11
1/10/2014,1938.54,1949.53,1956.97,1931.16
1/13/2014,1948.92,1947.38,1954.07,1942.83
1/14/2014,1946.07,1942.79,1961.73,1939.31
1/15/2014,1953.28,1956.43,1956.84,1945.87
1/16/2014,1957.32,1957.91,1965.27,1955.79
1/17/2014,1944.48,1958.5,1962.64,1943.13
1/20/2014,1953.78,1945.99,1955.28,1934.38
1/21/2014,1963.89,1955.26,1965.43,1949.56
1/22/2014,1970.42,1960.46,1970.42,1959.57
1/23/2014,1947.59,1968.77,1969.04,1947.01
1/24/2014,1940.56,1941.55,1947.01,1924.49
1/27/2014,1910.34,1905.91,1918.68,1899.76
1/28/2014,1916.93,1907.18,1919.26,1904.05
1/29/2014,1941.15,1925.93,1941.71,1925.52
2/3/2014,1919.96,1930.09,1931.81,1917.64
2/4/2014,1886.85,1894.96,1898.08,1885.53
2/5/2014,1891.32,1897.95,1901.4,1888.47
2/6/2014,1907.89,1897.35,1910.91,1897.35
2/7/2014,1922.5,1922.45,1923.25,1910.9
2/10/2014,1923.3,1928.13,1928.39,1916.4
2/11/2014,1932.06,1924.45,1935.29,1920.55
2/12/2014,1935.84,1942.23,1942.23,1933.54
2/13/2014,1926.96,1936.62,1944.73,1924.39
2/14/2014,1940.28,1930.14,1946.81,1930.14
2/17/2014,1946.36,1951.74,1955.04,1942.94
2/18/2014,1946.91,1946.88,1951.06,1935.6
2/19/2014,1942.93,1944.7,1944.7,1932.44
2/20/2014,1930.57,1932.9,1941.13,1927.53
2/21/2014,1957.83,1948.03,1957.83,1946.68
2/24/2014,1949.05,1958.06,1961.41,1943.86
2/25/2014,1964.86,1958.3,1964.86,1955.7
2/26/2014,1970.77,1963.45,1973.88,1955.92
2/27/2014,1978.43,1969.85,1980.37,1965.7
2/28/2014,1979.99,1976.48,1981.15,1972.65
3/3/2014,1964.69,1967.9,1969.16,1955.11
3/4/2014,1954.11,1954.58,1963.56,1952.61
3/5/2014,1971.24,1973.28,1977.3,1970.28
3/6/2014,1975.62,1973.67,1975.62,1968.17
3/7/2014,1974.68,1979.7,1983.53,1968.66
3/10/2014,1954.42,1967.63,1967.66,1951.96
3/11/2014,1963.87,1957.22,1963.87,1951.2
3/12/2014,1932.54,1957.67,1958.09,1930.48
3/13/2014,1934.38,1940.35,1946.28,1931.75
3/14/2014,1919.9,1916.07,1927.89,1913.64
3/17/2014,1927.53,1921.15,1928.43,1919.61
3/18/2014,1940.21,1941.12,1946.14,1931.83
3/19/2014,1937.68,1947.34,1948.15,1935.27
3/20/2014,1919.52,1934.15,1934.63,1919.37
3/21/2014,1934.94,1930.24,1935.18,1927.85
3/24/2014,1945.55,1937.06,1950.54,1937.06
3/25/2014,1941.25,1940.9,1946.09,1936.62
3/26/2014,1964.31,1954.6,1965.44,1953.69
3/27/2014,1977.97,1963.66,1979.7,1963.1
3/28/2014,1981,1972.63,1985.5,1971.25
3/31/2014,1985.61,1988.73,1989.8,1973.05
4/1/2014,1991.98,1983.78,1991.98,1976.06
4/2/2014,1997.25,2000.13,2001.26,1995.08
4/3/2014,1993.7,1999.42,2007.88,1992.16
4/4/2014,1988.09,1987.84,1993.96,1985.76
4/7/2014,1989.7,1984.29,1992.18,1978.63
4/8/2014,1993.03,1977.61,1994.58,1977.61
4/9/2014,1998.95,1997.98,2001.15,1992.12
4/10/2014,2008.61,2007.71,2008.98,1995.79
4/11/2014,1997.44,1985.28,1997.44,1985.16
4/14/2014,1997.02,1993.81,2001,1993.07
4/15/2014,1992.27,2008.49,2009.04,1990.34
4/16/2014,1992.21,1994.31,1995.86,1986.25
4/17/2014,1992.05,2000.47,2001.29,1984.98
4/18/2014,2004.28,1998.52,2005.22,1998.26
4/21/2014,1999.22,2006.21,2006.95,1993.53
4/22/2014,2004.22,2000.94,2004.42,1991.47
4/23/2014,2000.37,2010.06,2013.09,1999.78
4/24/2014,1998.34,2006.38,2007.17,1993.18
4/25/2014,1971.66,1996.61,1996.64,1971.66
4/28/2014,1969.26,1969.04,1976.56,1969.04
4/29/2014,1964.77,1974.67,1976.17,1960.36
4/30/2014,1961.79,1973.56,1974.33,1955.15
5/2/2014,1959.44,1966.29,1968.5,1956.32
5/7/2014,1939.88,1964.19,1964.19,1939.55
5/8/2014,1950.6,1945.94,1950.6,1934.72
5/9/2014,1956.55,1953.48,1958.34,1949.64
5/12/2014,1964.94,1956.26,1966.64,1950.91
5/13/2014,1982.93,1973.08,1988.41,1969.6
5/14/2014,2010.83,1990.99,2010.85,1990.79
5/15/2014,2010.2,2007.88,2015.37,2006.38
5/16/2014,2013.44,2003.48,2013.44,1997.27
5/19/2014,2015.14,2013.79,2015.53,2002.89
5/20/2014,2011.26,2011.85,2014.46,2004.32
5/21/2014,2008.33,2003.48,2015.63,2001.74
5/22/2014,2015.59,2015.41,2022.59,2011.6
5/23/2014,2017.17,2013.09,2017.96,2011.76
5/26/2014,2010.35,2016.21,2020.96,2008.14
5/27/2014,1997.63,2014.87,2016.73,1988.44
5/28/2014,2017.06,2000.26,2017.06,1997.89
5/29/2014,2012.26,2020.67,2021.96,2009.23
5/30/2014,1994.96,2015.37,2019.17,1994.96
6/2/2014,2002,1998.81,2006.93,1995.69
6/3/2014,2008.56,2006.31,2008.56,1990.72
6/5/2014,1995.48,2007.2,2007.2,1986.95
6/9/2014,1990.04,2004.73,2008.86,1986.53
6/10/2014,2011.8,2000.89,2011.87,1996.21
6/11/2014,2014.67,2009.51,2016.78,2006.73
6/12/2014,2011.65,2013.6,2015.8,2003.57
6/13/2014,1990.85,2005.55,2005.55,1984.04
6/16/2014,1993.59,1986.86,1995.86,1985.3
6/17/2014,2001.55,1994.89,2002.96,1991.53
6/18/2014,1989.49,2002.26,2002.26,1987.03
6/19/2014,1992.03,1994.23,1999.11,1985.89
6/20/2014,1968.07,1990.71,1990.73,1965.12
6/23/2014,1974.92,1975.1,1980.31,1971.61
6/24/2014,1994.35,1976.24,1998.31,1976.24
6/25/2014,1981.77,1992.69,1993.6,1980.78
6/26/2014,1995.05,1983,1997.08,1982.48
6/27/2014,1988.51,1990.9,1997.01,1983.88
6/30/2014,2002.21,1996.13,2002.21,1992.65
7/1/2014,1999,1993.29,1999,1987.89
7/2/2014,2015.28,2008,2016.36,2002.4
7/3/2014,2010.97,2015.99,2015.99,2007.86
7/4/2014,2009.66,2018.35,2018.35,2005.84
7/7/2014,2005.12,2007.53,2009.32,1998.03
7/8/2014,2006.66,2003.55,2009.22,1997.87
7/9/2014,2000.5,1997.57,2000.89,1992.42
7/10/2014,2002.84,2004.63,2006.5,1999.96
7/11/2014,1988.74,1988.93,1993.46,1985.53
7/14/2014,1993.88,1998.26,2001.11,1993.57
7/15/2014,2012.72,2004.93,2015.54,2004.49
7/16/2014,2013.48,2015.67,2018.05,2008.99
7/17/2014,2020.9,2020.52,2025.41,2018.77
7/18/2014,2019.42,2007.12,2019.42,2006.01
7/21/2014,2018.5,2028.02,2030.61,2016.42
7/22/2014,2028.93,2021.18,2028.93,2017.76
7/23/2014,2028.32,2032.73,2035.24,2025
7/24/2014,2026.62,2032.94,2034.72,2021.22
7/25/2014,2033.85,2030.04,2036.2,2027.33
7/28/2014,2048.81,2035.96,2053.84,2035.96
7/29/2014,2061.97,2054.03,2065.96,2053.41
7/30/2014,2082.61,2064.47,2093.08,2062.88
7/31/2014,2076.12,2081.75,2090.57,2070.78
8/1/2014,2073.1,2063.71,2079.81,2062.54
8/4/2014,2080.42,2080.77,2083.05,2067.17
8/5/2014,2066.26,2076.17,2077.73,2058.92
8/6/2014,2060.73,2062.93,2068.08,2055.68
8/7/2014,2054.51,2062.24,2063.53,2047.75
8/8/2014,2031.1,2049.51,2051.06,2026.56
8/11/2014,2039.37,2048.18,2048.18,2037.8
8/12/2014,2041.47,2048.39,2055.85,2038.14
8/13/2014,2062.36,2046.68,2062.36,2043.11
8/14/2014,2063.22,2065.69,2073.42,2056.06
8/18/2014,2053.13,2070.95,2073.05,2053.13
8/19/2014,2071.14,2065.19,2074.43,2064.34
8/20/2014,2072.78,2080.77,2082.21,2063.61
8/21/2014,2044.21,2067.63,2068.22,2041.91
8/22/2014,2056.7,2048.24,2058.46,2046.54
8/25/2014,2060.89,2049.16,2062.23,2044.2
8/26/2014,2068.05,2069.07,2072.42,2065.15
8/27/2014,2074.93,2075.45,2081.83,2070.77
8/28/2014,2075.76,2083.03,2088.86,2072.14
8/29/2014,2068.54,2070.73,2073.03,2060.14
9/1/2014,2067.86,2067.8,2072.59,2062.3
9/2/2014,2051.58,2065.97,2066,2049.15
9/3/2014,2051.2,2050.09,2054.08,2040.44
9/4/2014,2056.26,2059.05,2065.27,2050.79
9/5/2014,2049.41,2053.18,2059.04,2044.68
9/11/2014,2034.16,2046.97,2052.16,2034.13
9/12/2014,2041.86,2042.51,2048.21,2037.37
9/15/2014,2035.82,2039.03,2040.08,2028.8
9/16/2014,2042.92,2039.92,2045.65,2036.23
9/17/2014,2062.61,2052.06,2062.62,2051.11
9/18/2014,2047.74,2058.21,2063.26,2044.17
9/19/2014,2053.82,2057.56,2062.37,2053.66
9/22/2014,2039.27,2053.3,2053.3,2032.36
9/23/2014,2028.91,2028.9,2036.25,2025.16
9/24/2014,2035.64,2024.75,2036.26,2019.91
9/25/2014,2034.11,2045.66,2046.26,2030.09
9/26/2014,2031.64,2019.17,2031.65,2018.7
9/29/2014,2026.6,2035.93,2036.44,2021.37
9/30/2014,2020.09,2023.18,2029.17,2007.3
10/1/2014,1991.54,2013.47,2013.47,1989.84
10/2/2014,1976.16,1984.43,1985.06,1966.17
10/6/2014,1968.39,1987.89,1988.39,1968.3
10/7/2014,1972.91,1979.83,1982.96,1966.22
10/8/2014,1965.25,1957.9,1974.27,1957.9
10/10/2014,1940.92,1953.98,1953.98,1931.88
10/13/2014,1927.21,1919.48,1932.37,1918.48
10/14/2014,1929.25,1933.45,1940.21,1926.87
10/15/2014,1925.91,1932.11,1938.85,1918.77
10/16/2014,1918.83,1911.45,1922.94,1904.77
10/17/2014,1900.66,1923.51,1923.51,1896.54
10/20/2014,1930.06,1918.84,1933.12,1917.54
10/21/2014,1915.28,1923.62,1923.62,1911.03
10/22/2014,1936.97,1936.91,1936.99,1924.21
10/23/2014,1931.65,1932.43,1944.45,1924.14
10/24/2014,1925.69,1942.46,1942.72,1916.84
10/27/2014,1931.97,1933.91,1939.25,1929.26
10/28/2014,1925.68,1935.46,1936.28,1924.37
10/29/2014,1961.17,1938.8,1961.49,1931.59
10/30/2014,1958.93,1956.92,1959.49,1944.24
10/31/2014,1964.43,1963.26,1967.08,1951.07
11/3/2014,1952.97,1959.66,1961.04,1947.83
11/4/2014,1935.19,1950.15,1956.73,1928.52
11/5/2014,1931.43,1938.61,1944.5,1928.99
11/6/2014,1936.48,1933.45,1939.32,1923.05
11/7/2014,1939.87,1935.75,1943.26,1932.17
11/10/2014,1958.23,1952.79,1965.35,1952.79
11/11/2014,1963,1957.87,1965.41,1956.23
11/12/2014,1967.27,1965.21,1974.69,1961.66
11/13/2014,1960.51,1970.64,1973.33,1954.88
11/14/2014,1945.14,1959.64,1959.64,1940.49
11/17/2014,1943.63,1941.83,1948.33,1935.95
11/18/2014,1967.01,1951.93,1967.01,1951.93
11/19/2014,1966.87,1974.41,1974.41,1959.21
11/20/2014,1958.04,1960.72,1962.69,1952.44
11/21/2014,1964.84,1966.89,1969.43,1959.81
11/24/2014,1978.54,1982.48,1985.18,1974.37
11/25/2014,1980.21,1981.52,1981.85,1973.8
11/26/2014,1980.84,1984.83,1985.43,1972.95
11/27/2014,1982.09,1993.65,1994.82,1982.08
11/28/2014,1980.78,1983.22,1984.73,1975.66
12/1/2014,1965.22,1971.95,1971.97,1962.15
12/2/2014,1965.83,1959.4,1965.83,1954.4
12/3/2014,1969.91,1969.57,1973.96,1964.77
12/4/2014,1986.61,1976.3,1988.56,1976.1
12/5/2014,1986.62,1986.6,1989.17,1983.36
12/8/2014,1978.95,1988.8,1990.04,1976.89
12/9/2014,1970.95,1977.05,1977.15,1968.85
12/10/2014,1945.56,1964.04,1966.11,1943.27
12/11/2014,1916.59,1930.46,1937.23,1916.49
12/12/2014,1921.71,1921.61,1926.67,1915
12/15/2014,1920.36,1903.12,1920.43,1899.61
12/16/2014,1904.13,1909.01,1919.6,1901.13
12/17/2014,1900.16,1913.28,1913.28,1900.16
12/18/2014,1897.5,1917.67,1919.24,1881.73
12/19/2014,1929.98,1920.75,1930.08,1914.27
12/22/2014,1943.12,1938.16,1944.2,1928.89
12/23/2014,1939.02,1942.12,1944.75,1936.75
12/24/2014,1946.61,1940.76,1947.35,1936.74
12/26/2014,1948.16,1947.6,1954.77,1944.22
12/29/2014,1927.86,1937.27,1941.33,1927.83
12/30/2014,1915.59,1934.51,1937.55,1910.78
1/2/2015,1926.44,1914.24,1929.15,1909.67
1/5/2015,1915.75,1921.96,1921.96,1903.37
1/6/2015,1882.45,1895.48,1900.02,1877.38
1/7/2015,1883.83,1878.9,1887.6,1876.27
1/8/2015,1904.65,1895.85,1907.23,1891.77
1/9/2015,1924.7,1919.8,1929.1,1915.85
1/12/2015,1920.95,1918.18,1924.66,1917.88
1/13/2015,1917.14,1915.03,1920.77,1910.27
1/14/2015,1913.66,1919.31,1925.68,1913.51
1/15/2015,1914.14,1914.06,1919.69,1908.6
1/16/2015,1888.13,1907.07,1907.07,1885.62
1/19/2015,1902.62,1902.81,1912.42,1900.26
1/20/2015,1918.31,1908.62,1918.85,1907.97
1/21/2015,1921.23,1917.33,1921.88,1909.86
1/22/2015,1920.82,1926.01,1932.5,1916.56
1/23/2015,1936.09,1945.36,1945.36,1930.65
1/26/2015,1935.68,1928.26,1936.4,1924.14
1/27/2015,1952.4,1941.9,1952.41,1940.72
1/28/2015,1961.58,1946.71,1963.53,1943.59
1/29/2015,1951.02,1950.83,1960.12,1946.2
1/30/2015,1949.26,1964.13,1964.13,1948.6
2/2/2015,1952.68,1947.91,1956.1,1944.58
2/3/2015,1951.96,1960.11,1960.35,1940.74
2/4/2015,1962.79,1963.37,1970.27,1961.57
2/5/2015,1952.84,1961.15,1962.15,1945.42
2/6/2015,1955.52,1955.13,1955.52,1945.82
2/9/2015,1947,1949.5,1952.86,1944.79
2/10/2015,1935.86,1949.3,1954.2,1935.86
2/11/2015,1945.7,1942.34,1948.89,1937.95
2/12/2015,1941.63,1947.21,1947.47,1932.75
2/13/2015,1957.5,1949.32,1957.5,1946.94
2/16/2015,1958.23,1960.03,1963.44,1955.39
2/17/2015,1961.45,1955.77,1962.97,1952.33
2/23/2015,1968.39,1974.44,1976.96,1966.77
2/24/2015,1976.12,1975.65,1980.38,1972.61
2/25/2015,1990.47,1988.47,1992.03,1984.53
2/26/2015,1993.08,1993.27,1993.43,1983.94
2/27/2015,1985.8,1992.76,1993.34,1982.5
3/2/2015,1996.81,1996.72,1999.13,1988.33
3/3/2015,2001.38,2002.5,2003.05,1995.93
3/4/2015,1998.29,2001.76,2003.85,1996.5
3/5/2015,1998.38,1996.81,2002.48,1993.92
3/6/2015,2012.94,2003.97,2013.73,2003.18
3/9/2015,1992.82,2004.94,2005.81,1990.87
3/10/2015,1984.77,2000.66,2003.19,1982.22
3/11/2015,1980.83,1971.04,1984.6,1969.13
3/12/2015,1970.59,1979.22,1988.77,1970.59
3/13/2015,1985.79,1987.17,1991.87,1982.96
3/16/2015,1987.33,1985.59,1991.79,1982.26
3/17/2015,2029.91,1998.26,2029.91,1997.27
3/18/2015,2028.45,2032.19,2036.13,2026.72
3/19/2015,2037.89,2047.13,2047.13,2031.07
3/20/2015,2037.24,2037.13,2040,2027.81
3/23/2015,2036.59,2043.22,2043.92,2032.35
3/24/2015,2041.37,2035.08,2041.77,2028.54
3/25/2015,2042.81,2043.16,2046.97,2038.14
3/26/2015,2022.56,2027.2,2036.7,2019.51
3/27/2015,2019.8,2026.75,2027.25,2016.88
3/30/2015,2030.04,2026.6,2033.27,2018.12
3/31/2015,2041.03,2042.31,2046.9,2032.24
4/1/2015,2028.45,2035.4,2039.04,2024.64
4/2/2015,2029.07,2036.9,2040.45,2028.22
4/3/2015,2045.42,2035.83,2045.94,2031.27
4/6/2015,2046.43,2049.87,2055.45,2043.26
4/7/2015,2047.03,2059.05,2059.09,2043.79
4/8/2015,2059.26,2048.75,2060.19,2046.09
4/9/2015,2058.87,2060.3,2064.46,2054.17
4/10/2015,2087.76,2066.32,2089.09,2065.39
4/13/2015,2098.92,2094.1,2099.97,2088.82
4/14/2015,2111.72,2101.76,2111.73,2095.97
4/15/2015,2119.96,2114.56,2122.72,2110.25
4/16/2015,2139.9,2134.14,2139.9,2125.54
4/17/2015,2143.5,2142.72,2144.76,2134.1
4/20/2015,2146.71,2126.55,2146.73,2126.55
4/21/2015,2144.79,2153.42,2153.84,2140.12
4/22/2015,2143.89,2146.59,2161.23,2125.88
4/23/2015,2173.41,2156.94,2174.72,2139.33
4/24/2015,2159.8,2181.24,2189.54,2154.27
4/27/2015,2157.54,2169.14,2169.14,2152.09
4/28/2015,2147.67,2162.5,2164.52,2144.85
4/29/2015,2142.63,2155.01,2156.24,2126.36
4/30/2015,2127.17,2134.94,2136.9,2121.29
5/4/2015,2132.23,2134.51,2139.3,2128.72
5/6/2015,2104.58,2122.03,2123.22,2095.6
5/7/2015,2091,2098.48,2099.44,2067.99
5/8/2015,2085.52,2090.19,2094.06,2082.72
5/11/2015,2097.38,2106.12,2110.79,2097.38
5/12/2015,2096.77,2100.63,2101.72,2088.64
5/13/2015,2114.16,2100.1,2115.36,2100.08
5/14/2015,2120.33,2115.59,2121.68,2111.72
5/15/2015,2106.5,2132.53,2134.36,2104.77
5/18/2015,2113.72,2108.15,2113.72,2099.48
5/19/2015,2120.85,2114.29,2126.89,2107.62
5/20/2015,2139.54,2128.01,2140.24,2125.49
5/21/2015,2122.81,2139.68,2140.6,2121.49
5/22/2015,2146.1,2131.11,2146.1,2126.88
5/26/2015,2143.5,2146.47,2148.7,2130.3
5/27/2015,2107.5,2133.49,2134.95,2103.64
5/28/2015,2110.89,2117.77,2123.52,2110.89
5/29/2015,2114.8,2109.38,2123.39,2106.7
6/1/2015,2102.37,2110.12,2110.88,2086
6/2/2015,2078.64,2102.62,2107.17,2076.16
6/3/2015,2063.16,2078.51,2087.95,2059.34
6/4/2015,2072.86,2070.49,2082.6,2062.75
6/5/2015,2068.1,2062.22,2075.02,2060.91
6/8/2015,2065.19,2068.51,2068.51,2056.5
6/9/2015,2064.03,2063.4,2073.75,2057.21
6/10/2015,2051.32,2079.13,2080.03,2049.13
6/11/2015,2056.61,2065.07,2065.07,2051.1
6/12/2015,2052.17,2068.45,2074.78,2044.87
6/15/2015,2042.32,2041.07,2049.68,2033.72
6/16/2015,2028.72,2045.01,2045.77,2008.46
6/17/2015,2034.86,2035.48,2037.12,2021.5
6/18/2015,2041.88,2046.19,2052,2036.78
6/19/2015,2046.96,2056.54,2057.71,2044.71
6/22/2015,2055.16,2059.6,2068.07,2050.3
6/23/2015,2081.2,2071.3,2086.09,2066.21
6/24/2015,2085.53,2086.69,2087.68,2076.78
6/25/2015,2085.06,2077.84,2088.16,2073.95
6/26/2015,2090.26,2083.4,2097.01,2080.79
6/29/2015,2060.49,2056.44,2068.85,2054.33
6/30/2015,2074.2,2054.83,2075.02,2049.44
7/1/2015,2097.89,2077.27,2100.34,2072.54
7/2/2015,2107.33,2107.11,2110.81,2098.76
7/3/2015,2104.41,2107.51,2109.68,2094.02
7/6/2015,2053.93,2076.06,2089.86,2052.23
7/7/2015,2040.29,2067.04,2067.93,2028.98
7/8/2015,2016.21,2045.88,2046.33,2010.83
7/9/2015,2027.81,2000.19,2027.81,1983.78
7/10/2015,2031.17,2036.89,2037.84,2024.76
7/13/2015,2061.52,2033.25,2063.28,2030.21
7/14/2015,2059.23,2070.44,2070.44,2052.21
7/15/2015,2072.91,2068.38,2079.9,2060.66
7/16/2015,2087.89,2073.29,2088.33,2071.02
7/17/2015,2076.79,2101.22,2101.22,2068.36
7/20/2015,2073.31,2077.09,2081.43,2068.19
7/21/2015,2083.62,2082.18,2088.24,2069.21
7/22/2015,2064.73,2071.06,2075.94,2059.45
7/23/2015,2065.07,2068.93,2069.2,2053.52
7/24/2015,2045.96,2060.66,2060.66,2040.3
7/27/2015,2038.81,2034.82,2048.15,2032.44
7/28/2015,2039.1,2026.33,2045.55,2015.91
7/29/2015,2037.62,2053.62,2055.95,2037.62
7/30/2015,2019.03,2040.24,2044.93,2019.03
7/31/2015,2030.16,2026.98,2030.16,2004.7
8/3/2015,2008.49,2026.25,2026.25,2005.21
8/4/2015,2027.99,2007.75,2027.99,2007.66
8/5/2015,2029.76,2027.22,2035.25,2022.98
8/6/2015,2013.29,2037.26,2038.41,2011.6
8/7/2015,2010.23,2009.39,2012.9,2001.13
8/10/2015,2003.17,2008.44,2008.55,1993.96
8/11/2015,1986.65,2020.15,2021.81,1986.46
8/12/2015,1975.47,1980.04,1989.1,1948.91
8/13/2015,1983.46,1975.47,1990.7,1966.02
8/17/2015,1968.52,1991.05,1991.05,1968.44
8/18/2015,1956.26,1977.61,1979.33,1954.35
8/19/2015,1939.38,1954.56,1959.51,1915.91
8/20/2015,1914.55,1929.43,1933.79,1912.55
8/21/2015,1876.07,1862.79,1886.49,1856.91
8/24/2015,1829.81,1860.03,1872.86,1800.75
8/25/2015,1846.63,1840.94,1864.3,1806.79
8/26/2015,1894.09,1843.7,1895.45,1835.58
8/27/2015,1908,1912.42,1920.39,1898.98
8/28/2015,1937.67,1932.39,1938.61,1927.39
8/31/2015,1941.49,1934.12,1941.49,1925.52
9/1/2015,1914.23,1934.44,1939.67,1914.22
9/2/2015,1915.22,1886.14,1920.62,1883.5
9/3/2015,1915.53,1929.78,1931.19,1911.17
9/4/2015,1886.04,1921.81,1923.06,1879.94
9/7/2015,1883.22,1883.36,1895.99,1870.59
9/8/2015,1878.68,1889.14,1894.56,1868.48
9/9/2015,1934.2,1903.28,1934.2,1902.93
9/10/2015,1962.11,1918.42,1962.11,1915.44
9/11/2015,1941.37,1942.88,1951.26,1939.73
9/14/2015,1931.46,1947.65,1948.02,1921.45
9/15/2015,1937.56,1930.44,1938.9,1927.62
9/16/2015,1975.45,1949.49,1978.68,1949.15
9/17/2015,1976.49,1989.07,1989.07,1972.93
9/18/2015,1995.95,1978.39,1996.47,1964.12
9/21/2015,1964.68,1973.24,1980.8,1960.11
9/22/2015,1982.06,1973.54,1983.99,1966.05
9/23/2015,1944.64,1960.33,1968.16,1944.51
9/24/2015,1947.1,1956.94,1958.73,1944.31
9/25/2015,1942.85,1948.3,1951.94,1932.49
9/30/2015,1962.81,1915.46,1962.84,1915.04
10/1/2015,1979.32,1963.55,1986.01,1958.63
10/2/2015,1969.68,1979.41,1985.57,1969.68
10/5/2015,1978.25,1981.6,1994.65,1975.55
10/6/2015,1990.65,1996.29,1998.02,1985.17
10/7/2015,2005.84,1995.87,2006.24,1994.55
10/8/2015,2019.53,2016.36,2020.19,1998.66
10/12/2015,2021.63,2022.33,2030.92,2015.43
10/13/2015,2019.05,2021.2,2024.5,2010.16
10/14/2015,2009.55,2014.47,2016.14,2002.63
10/15/2015,2033.27,2008.29,2035.8,2007.46
10/16/2015,2030.26,2037.98,2038.06,2025.19
10/19/2015,2030.27,2032.36,2036.3,2022.25
10/20/2015,2039.36,2031.5,2040.24,2026.67
10/21/2015,2042.98,2039.25,2053.95,2035.59
10/22/2015,2023,2040.43,2042.57,2019.53
10/23/2015,2040.4,2043.67,2054.82,2036.92
10/26/2015,2048.08,2049.41,2049.6,2039.97
10/27/2015,2044.65,2043.52,2045.81,2036.22
10/28/2015,2042.51,2045.67,2045.67,2032.39
10/29/2015,2034.16,2050.97,2064.72,2032.56
10/30/2015,2029.47,2034.78,2038.56,2027.8
11/2/2015,2035.24,2033.15,2036.05,2028.2
11/3/2015,2048.4,2042.6,2053.24,2040.75
11/4/2015,2052.77,2053.51,2056.12,2042.38
11/5/2015,2049.41,2049.3,2050.44,2039.93
11/6/2015,2041.07,2048.17,2055.14,2038.46
11/9/2015,2025.7,2038.59,2038.59,2022.52
11/10/2015,1996.59,2015.45,2015.45,1988.54
11/11/2015,1997.27,1993.81,2001.73,1983.14
11/12/2015,1993.36,1997.32,1998.66,1991.28
11/13/2015,1973.29,1975.97,1981.27,1969.71
11/16/2015,1943.02,1945.68,1956.09,1942.85
11/17/2015,1963.58,1967.36,1974.08,1959.22
11/18/2015,1962.88,1967.25,1973.16,1961.43
11/19/2015,1988.91,1976.94,1988.92,1972.85
11/20/2015,1989.86,1988.96,1993.97,1985.93
11/23/2015,2003.7,1995.92,2008.34,1992.86
11/24/2015,2016.29,2004.29,2019.95,2003.06
11/25/2015,2009.42,2018.24,2018.93,2007.91
11/26/2015,2030.68,2014.88,2033.18,2014.88
11/27/2015,2028.99,2038.71,2038.72,2026.4
11/30/2015,1991.97,2022.38,2022.38,1987.12
12/1/2015,2023.93,2001.51,2026.33,2001.51
12/2/2015,2009.29,2026.08,2026.19,2009.29
12/3/2015,1994.07,2000.2,2000.2,1981.59
12/4/2015,1974.4,1972.16,1983.02,1970.48
12/7/2015,1963.67,1987.62,1988.04,1963.66
12/8/2015,1949.04,1964.22,1971.07,1948.43
12/9/2015,1948.24,1951.39,1956.7,1944.78
12/10/2015,1952.07,1947.21,1956.84,1940.4
12/11/2015,1948.62,1952.82,1961,1943.67
12/14/2015,1927.82,1926.36,1930.4,1919.22
12/15/2015,1932.97,1935.82,1938.04,1925.75
12/16/2015,1969.4,1950.15,1975.63,1950.05
12/17/2015,1977.96,1984.06,1987.83,1967.64
12/18/2015,1975.32,1960.32,1981.42,1958.12
12/21/2015,1981.19,1974.26,1986.66,1968.14
12/22/2015,1992.56,1984.37,1992.72,1971.32
12/23/2015,1999.22,1994.2,2007.42,1989.3
